Strategy Name,Iteration,Agent A Choice,Agent A Score,Agent B Choice,Agent B Score
tit_for_tat,1,Cooperate,3,Cooperate,3
tit_for_tat,2,Cooperate,6,Cooperate,6
tit_for_tat,3,Cooperate,9,Cooperate,9
tit_for_tat,4,Cooperate,12,Cooperate,12
tit_for_tat,5,Cooperate,15,Cooperate,15
tit_for_tat,6,Cooperate,18,Cooperate,18
tit_for_tat,7,Cooperate,21,Cooperate,21
tit_for_tat,8,Cooperate,24,Cooperate,24
tit_for_tat,9,Cooperate,27,Cooperate,27
tit_for_tat,10,Cooperate,30,Cooperate,30
tit_for_tat,11,Cooperate,33,Cooperate,33
tit_for_tat,12,Cooperate,36,Cooperate,36
tit_for_tat,13,Cooperate,39,Cooperate,39
tit_for_tat,14,Cooperate,42,Cooperate,42
tit_for_tat,15,Cooperate,45,Cooperate,45
tit_for_tat,16,Cooperate,48,Cooperate,48
tit_for_tat,17,Cooperate,51,Cooperate,51
tit_for_tat,18,Cooperate,54,Cooperate,54
tit_for_tat,19,Cooperate,57,Cooperate,57
tit_for_tat,20,Cooperate,60,Cooperate,60
tit_for_tat,21,Cooperate,63,Cooperate,63
tit_for_tat,22,Cooperate,66,Cooperate,66
tit_for_tat,23,Cooperate,69,Cooperate,69
tit_for_tat,24,Cooperate,72,Cooperate,72
tit_for_tat,25,Cooperate,75,Cooperate,75
tit_for_tat,26,Cooperate,78,Cooperate,78
tit_for_tat,27,Cooperate,81,Cooperate,81
tit_for_tat,28,Cooperate,84,Cooperate,84
tit_for_tat,29,Cooperate,87,Cooperate,87
tit_for_tat,30,Cooperate,90,Cooperate,90
tit_for_tat,31,Cooperate,93,Cooperate,93
tit_for_tat,32,Cooperate,96,Cooperate,96
tit_for_tat,33,Cooperate,99,Cooperate,99
tit_for_tat,34,Cooperate,102,Cooperate,102
tit_for_tat,35,Cooperate,105,Cooperate,105
tit_for_tat,36,Cooperate,108,Cooperate,108
tit_for_tat,37,Cooperate,111,Cooperate,111
tit_for_tat,38,Cooperate,114,Cooperate,114
tit_for_tat,39,Cooperate,117,Cooperate,117
tit_for_tat,40,Cooperate,120,Cooperate,120
tit_for_tat,41,Cooperate,123,Cooperate,123
tit_for_tat,42,Cooperate,126,Cooperate,126
tit_for_tat,43,Cooperate,129,Cooperate,129
tit_for_tat,44,Cooperate,132,Cooperate,132
tit_for_tat,45,Cooperate,135,Cooperate,135
tit_for_tat,46,Cooperate,138,Cooperate,138
tit_for_tat,47,Cooperate,141,Cooperate,141
tit_for_tat,48,Cooperate,144,Cooperate,144
tit_for_tat,49,Cooperate,147,Cooperate,147
tit_for_tat,50,Cooperate,150,Cooperate,150
tit_for_two_tats,1,Cooperate,3,Cooperate,3
tit_for_two_tats,2,Cooperate,6,Cooperate,6
tit_for_two_tats,3,Cooperate,9,Cooperate,9
tit_for_two_tats,4,Cooperate,12,Cooperate,12
tit_for_two_tats,5,Cooperate,15,Cooperate,15
tit_for_two_tats,6,Cooperate,18,Cooperate,18
tit_for_two_tats,7,Cooperate,21,Cooperate,21
tit_for_two_tats,8,Cooperate,24,Cooperate,24
tit_for_two_tats,9,Cooperate,27,Cooperate,27
tit_for_two_tats,10,Cooperate,30,Cooperate,30
tit_for_two_tats,11,Cooperate,33,Cooperate,33
tit_for_two_tats,12,Cooperate,36,Cooperate,36
tit_for_two_tats,13,Cooperate,39,Cooperate,39
tit_for_two_tats,14,Cooperate,42,Cooperate,42
tit_for_two_tats,15,Cooperate,45,Cooperate,45
tit_for_two_tats,16,Cooperate,48,Cooperate,48
tit_for_two_tats,17,Cooperate,51,Cooperate,51
tit_for_two_tats,18,Cooperate,54,Cooperate,54
tit_for_two_tats,19,Cooperate,57,Cooperate,57
tit_for_two_tats,20,Cooperate,60,Cooperate,60
tit_for_two_tats,21,Cooperate,63,Cooperate,63
tit_for_two_tats,22,Cooperate,66,Cooperate,66
tit_for_two_tats,23,Cooperate,69,Cooperate,69
tit_for_two_tats,24,Cooperate,72,Cooperate,72
tit_for_two_tats,25,Cooperate,75,Cooperate,75
tit_for_two_tats,26,Cooperate,78,Cooperate,78
tit_for_two_tats,27,Cooperate,81,Cooperate,81
tit_for_two_tats,28,Cooperate,84,Cooperate,84
tit_for_two_tats,29,Cooperate,87,Cooperate,87
tit_for_two_tats,30,Cooperate,90,Cooperate,90
tit_for_two_tats,31,Cooperate,93,Cooperate,93
tit_for_two_tats,32,Cooperate,96,Cooperate,96
tit_for_two_tats,33,Cooperate,99,Cooperate,99
tit_for_two_tats,34,Cooperate,102,Cooperate,102
tit_for_two_tats,35,Cooperate,105,Cooperate,105
tit_for_two_tats,36,Cooperate,108,Cooperate,108
tit_for_two_tats,37,Cooperate,111,Cooperate,111
tit_for_two_tats,38,Cooperate,114,Cooperate,114
tit_for_two_tats,39,Cooperate,117,Cooperate,117
tit_for_two_tats,40,Cooperate,120,Cooperate,120
tit_for_two_tats,41,Cooperate,123,Cooperate,123
tit_for_two_tats,42,Cooperate,126,Cooperate,126
tit_for_two_tats,43,Cooperate,129,Cooperate,129
tit_for_two_tats,44,Cooperate,132,Cooperate,132
tit_for_two_tats,45,Cooperate,135,Cooperate,135
tit_for_two_tats,46,Cooperate,138,Cooperate,138
tit_for_two_tats,47,Cooperate,141,Cooperate,141
tit_for_two_tats,48,Cooperate,144,Cooperate,144
tit_for_two_tats,49,Cooperate,147,Cooperate,147
tit_for_two_tats,50,Cooperate,150,Cooperate,150
generous_tit_for_tat,1,Cooperate,3,Cooperate,3
generous_tit_for_tat,2,Cooperate,6,Cooperate,6
generous_tit_for_tat,3,Cooperate,9,Cooperate,9
generous_tit_for_tat,4,Cooperate,12,Cooperate,12
generous_tit_for_tat,5,Cooperate,15,Cooperate,15
generous_tit_for_tat,6,Cooperate,18,Cooperate,18
generous_tit_for_tat,7,Cooperate,21,Cooperate,21
generous_tit_for_tat,8,Cooperate,24,Cooperate,24
generous_tit_for_tat,9,Cooperate,27,Cooperate,27
generous_tit_for_tat,10,Cooperate,30,Cooperate,30
generous_tit_for_tat,11,Cooperate,33,Cooperate,33
generous_tit_for_tat,12,Cooperate,36,Cooperate,36
generous_tit_for_tat,13,Cooperate,39,Cooperate,39
generous_tit_for_tat,14,Cooperate,42,Cooperate,42
generous_tit_for_tat,15,Cooperate,45,Cooperate,45
generous_tit_for_tat,16,Cooperate,48,Cooperate,48
generous_tit_for_tat,17,Cooperate,51,Cooperate,51
generous_tit_for_tat,18,Cooperate,54,Cooperate,54
generous_tit_for_tat,19,Cooperate,57,Cooperate,57
